date,year,decade,home_team,away_team,home_team_code,away_team_code,home_score,away_score,match_result,matchday_name,round,type,match_attendance,stadium_country_code,stadium_capacity
1966-10-23,1966,1960,Republic of Ireland,Spain,IRL,ESP,0.0,0.0,D,1,PRELIMINARY,GROUP_STAGE,38877.0,IRL,2740.0
1966-11-02,1966,1960,Romania,Switzerland,ROU,SUI,4.0,2.0,H,1,PRELIMINARY,GROUP_STAGE,14209.0,ROU,0.0
1966-11-11,1966,1960,Belgium,France,BEL,FRA,2.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,43404.0,BEL,48693.0
1966-11-13,1966,1960,Bulgaria,Norway,BUL,NOR,4.0,2.0,H,1,PRELIMINARY,GROUP_STAGE,20762.0,BUL,43230.0
1966-11-13,1966,1960,Portugal,Sweden,POR,SWE,1.0,2.0,A,1,PRELIMINARY,GROUP_STAGE,18244.0,POR,71376.0
1966-11-16,1966,1960,Republic of Ireland,Türki̇ye,IRL,TUR,2.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,22480.0,IRL,2740.0
1966-11-16,1966,1960,England,Wales,ENG,WAL,5.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,75380.0,ENG,78311.0
1966-11-16,1966,1960,Scotland,Northern Ireland,SCO,NIR,2.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,44428.0,SCO,51824.0
1966-11-26,1966,1960,Luxembourg,France,LUX,FRA,0.0,3.0,A,1,PRELIMINARY,GROUP_STAGE,3465.0,LUX,8022.0
1966-11-26,1966,1960,Italy,Romania,ITA,ROU,3.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,68145.0,ITA,54726.0
1966-11-30,1966,1960,Netherlands,Denmark,NED,DEN,2.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,25134.0,NED,48100.0
1966-12-03,1966,1960,Cyprus,Romania,CYP,ROU,1.0,5.0,A,1,PRELIMINARY,GROUP_STAGE,4823.0,CYP,22709.0
1966-12-07,1966,1960,Spain,Republic of Ireland,ESP,IRL,2.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,9810.0,ESP,49448.0
1967-02-01,1967,1960,Türki̇ye,Spain,TUR,ESP,0.0,0.0,D,1,PRELIMINARY,GROUP_STAGE,27262.0,TUR,32086.0
1967-02-22,1967,1960,Türki̇ye,Republic of Ireland,TUR,IRL,2.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,31063.0,TUR,19812.0
1967-03-19,1967,1960,Luxembourg,Belgium,LUX,BEL,0.0,5.0,A,1,PRELIMINARY,GROUP_STAGE,9107.0,LUX,8022.0
1967-03-22,1967,1960,Cyprus,Italy,CYP,ITA,0.0,2.0,A,1,PRELIMINARY,GROUP_STAGE,5380.0,CYP,22709.0
1967-04-05,1967,1960,German Dem. Rep.,Netherlands,GDR,NED,4.0,3.0,H,1,PRELIMINARY,GROUP_STAGE,30207.0,GER,0.0
1967-04-09,1967,1960,West Germany,Albania,FRG,ALB,6.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,27674.0,GER,81365.0
1967-04-12,1967,1960,Northern Ireland,Wales,NIR,WAL,0.0,0.0,D,1,PRELIMINARY,GROUP_STAGE,17643.0,NIR,18434.0
1967-04-15,1967,1960,England,Scotland,ENG,SCO,2.0,3.0,A,1,PRELIMINARY,GROUP_STAGE,98283.0,ENG,78311.0
1967-04-16,1967,1960,Luxembourg,Poland,LUX,POL,0.0,0.0,D,1,PRELIMINARY,GROUP_STAGE,7229.0,LUX,8022.0
1967-04-23,1967,1960,Romania,Cyprus,ROU,CYP,7.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,9412.0,ROU,0.0
1967-05-03,1967,1960,Yugoslavia,West Germany,YUG,FRG,1.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,36508.0,SRB,29662.0
1967-05-10,1967,1960,Finland,Greece,FIN,GRE,1.0,1.0,D,1,PRELIMINARY,GROUP_STAGE,14056.0,FIN,36251.0
